"response_uuid","child_hashed_id","frame_id","event_number","key","value"
"768a46c5-1034-46b0-8b3a-97e508fe0b94","VX3NEJ","0-preload","","success",True
"768a46c5-1034-46b0-8b3a-97e508fe0b94","VX3NEJ","0-preload","","timeout",False
"768a46c5-1034-46b0-8b3a-97e508fe0b94","VX3NEJ","0-preload","","trial_type","preload"
"768a46c5-1034-46b0-8b3a-97e508fe0b94","VX3NEJ","0-preload","","trial_index",0
"768a46c5-1034-46b0-8b3a-97e508fe0b94","VX3NEJ","0-preload","","time_elapsed",2365
"768a46c5-1034-46b0-8b3a-97e508fe0b94","VX3NEJ","0-preload","","plugin_version","2.0.0"
"768a46c5-1034-46b0-8b3a-97e508fe0b94","VX3NEJ","1-preload","","success",True
"768a46c5-1034-46b0-8b3a-97e508fe0b94","VX3NEJ","1-preload","","timeout",False
"768a46c5-1034-46b0-8b3a-97e508fe0b94","VX3NEJ","1-preload","","trial_type","preload"
"768a46c5-1034-46b0-8b3a-97e508fe0b94","VX3NEJ","1-preload","","trial_index",1
"768a46c5-1034-46b0-8b3a-97e508fe0b94","VX3NEJ","1-preload","","time_elapsed",16391
"768a46c5-1034-46b0-8b3a-97e508fe0b94","VX3NEJ","1-preload","","plugin_version","2.0.0"
"768a46c5-1034-46b0-8b3a-97e508fe0b94","VX3NEJ","2-preload","","success",True
"768a46c5-1034-46b0-8b3a-97e508fe0b94","VX3NEJ","2-preload","","timeout",False
"768a46c5-1034-46b0-8b3a-97e508fe0b94","VX3NEJ","2-preload","","trial_type","preload"
"768a46c5-1034-46b0-8b3a-97e508fe0b94","VX3NEJ","2-preload","","trial_index",2
"768a46c5-1034-46b0-8b3a-97e508fe0b94","VX3NEJ","2-preload","","time_elapsed",41062
"768a46c5-1034-46b0-8b3a-97e508fe0b94","VX3NEJ","2-preload","","plugin_version","2.0.0"
"768a46c5-1034-46b0-8b3a-97e508fe0b94","VX3NEJ","3-html-button-response","","rt",7759
"768a46c5-1034-46b0-8b3a-97e508fe0b94","VX3NEJ","3-html-button-response","","response",0
"768a46c5-1034-46b0-8b3a-97e508fe0b94","VX3NEJ","3-html-button-response","","stimulus","Welcome! Press ""next"" to continue."
"768a46c5-1034-46b0-8b3a-97e508fe0b94","VX3NEJ","3-html-button-response","","trial_type","html-button-response"
"768a46c5-1034-46b0-8b3a-97e508fe0b94","VX3NEJ","3-html-button-response","","trial_index",3
"768a46c5-1034-46b0-8b3a-97e508fe0b94","VX3NEJ","3-html-button-response","","time_elapsed",48825
"768a46c5-1034-46b0-8b3a-97e508fe0b94","VX3NEJ","3-html-button-response","","plugin_version","2.0.0"
"768a46c5-1034-46b0-8b3a-97e508fe0b94","VX3NEJ","4-video-config-plugin","","rt",37431
"768a46c5-1034-46b0-8b3a-97e508fe0b94","VX3NEJ","4-video-config-plugin","","camId","b46970e72d2b46272e5e677ff3f6d3956d5d5a0e5703afb60e5ea2dcd0bcaf6f"
"768a46c5-1034-46b0-8b3a-97e508fe0b94","VX3NEJ","4-video-config-plugin","","micId","b3f9c62a00422ae83a5d32dcdca9fc227377e71bb89d5e2f6d2dc04bf3a71a20"
