"response_uuid","child_hashed_id","frame_id","event_number","key","value"
"8851333e-1afc-4b63-a61a-608eb82336e5","3NST7E","0-preload","","success",True
"8851333e-1afc-4b63-a61a-608eb82336e5","3NST7E","0-preload","","timeout",False
"8851333e-1afc-4b63-a61a-608eb82336e5","3NST7E","0-preload","","trial_type","preload"
"8851333e-1afc-4b63-a61a-608eb82336e5","3NST7E","0-preload","","trial_index",0
"8851333e-1afc-4b63-a61a-608eb82336e5","3NST7E","0-preload","","time_elapsed",15
"8851333e-1afc-4b63-a61a-608eb82336e5","3NST7E","0-preload","","plugin_version","2.0.0"
"8851333e-1afc-4b63-a61a-608eb82336e5","3NST7E","2-preload","","success",True
"8851333e-1afc-4b63-a61a-608eb82336e5","3NST7E","2-preload","","timeout",False
"8851333e-1afc-4b63-a61a-608eb82336e5","3NST7E","2-preload","","trial_type","preload"
"8851333e-1afc-4b63-a61a-608eb82336e5","3NST7E","2-preload","","trial_index",1
"8851333e-1afc-4b63-a61a-608eb82336e5","3NST7E","2-preload","","time_elapsed",202
"8851333e-1afc-4b63-a61a-608eb82336e5","3NST7E","2-preload","","plugin_version","2.0.0"
"8851333e-1afc-4b63-a61a-608eb82336e5","3NST7E","3-html-button-response","","success",True
"8851333e-1afc-4b63-a61a-608eb82336e5","3NST7E","3-html-button-response","","timeout",False
"8851333e-1afc-4b63-a61a-608eb82336e5","3NST7E","3-html-button-response","","trial_type","preload"
"8851333e-1afc-4b63-a61a-608eb82336e5","3NST7E","3-html-button-response","","trial_index",2
"8851333e-1afc-4b63-a61a-608eb82336e5","3NST7E","3-html-button-response","","time_elapsed",962
"8851333e-1afc-4b63-a61a-608eb82336e5","3NST7E","3-html-button-response","","plugin_version","2.0.0"
"8851333e-1afc-4b63-a61a-608eb82336e5","3NST7E","4-video-config-plugin","","rt",1280
"8851333e-1afc-4b63-a61a-608eb82336e5","3NST7E","4-video-config-plugin","","response",0
"8851333e-1afc-4b63-a61a-608eb82336e5","3NST7E","4-video-config-plugin","","stimulus","Welcome! Press ""next"" to continue."
"8851333e-1afc-4b63-a61a-608eb82336e5","3NST7E","4-video-config-plugin","","trial_type","html-button-response"
"8851333e-1afc-4b63-a61a-608eb82336e5","3NST7E","4-video-config-plugin","","trial_index",3
"8851333e-1afc-4b63-a61a-608eb82336e5","3NST7E","4-video-config-plugin","","time_elapsed",2250
"8851333e-1afc-4b63-a61a-608eb82336e5","3NST7E","4-video-config-plugin","","plugin_version","2.0.0"
"8851333e-1afc-4b63-a61a-608eb82336e5","3NST7E","5-consent-video","","rt",6714
"8851333e-1afc-4b63-a61a-608eb82336e5","3NST7E","5-consent-video","","camId","676574be161d1664b00ca5e0a9ccc9c12ec6b5641694be3427de4dae6d6d907e"
"8851333e-1afc-4b63-a61a-608eb82336e5","3NST7E","5-consent-video","","micId","ef7b2460217725918db886f6343844ef1592ea7e902c4d5b1926f2ef071bdeca"
"8851333e-1afc-4b63-a61a-608eb82336e5","3NST7E","5-consent-video","","trial_type","video-config-plugin"
"8851333e-1afc-4b63-a61a-608eb82336e5","3NST7E","5-consent-video","","trial_index",4
"8851333e-1afc-4b63-a61a-608eb82336e5","3NST7E","5-consent-video","","time_elapsed",8996
"8851333e-1afc-4b63-a61a-608eb82336e5","3NST7E","5-consent-video","","plugin_version","3.0.1"
"8851333e-1afc-4b63-a61a-608eb82336e5","3NST7E","6-survey","","chs_type","consent"
"8851333e-1afc-4b63-a61a-608eb82336e5","3NST7E","6-survey","","trial_type","consent-video"
"8851333e-1afc-4b63-a61a-608eb82336e5","3NST7E","6-survey","","trial_index",5
"8851333e-1afc-4b63-a61a-608eb82336e5","3NST7E","6-survey","","time_elapsed",51701
"8851333e-1afc-4b63-a61a-608eb82336e5","3NST7E","6-survey","","plugin_version","3.0.1"
"8851333e-1afc-4b63-a61a-608eb82336e5","3NST7E","7-video-button-response","","rt",16339
"8851333e-1afc-4b63-a61a-608eb82336e5","3NST7E","7-video-button-response","","chs_type","consent"
"8851333e-1afc-4b63-a61a-608eb82336e5","3NST7E","7-video-button-response","","response.audio",""
"8851333e-1afc-4b63-a61a-608eb82336e5","3NST7E","7-video-button-response","","response.video",""
"8851333e-1afc-4b63-a61a-608eb82336e5","3NST7E","7-video-button-response","","response.Ready?",""
"8851333e-1afc-4b63-a61a-608eb82336e5","3NST7E","7-video-button-response","","response.question1",""
"8851333e-1afc-4b63-a61a-608eb82336e5","3NST7E","7-video-button-response","","trial_type","survey"
